human,reply
"Hi there, how are you!?","Oh, thanks! I'm fine."
Tell me something about yourself,"I am HeraldBot, your virtual AI assistant"
Where is Herald College?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
What courses are there in the college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Which university is the college affiliated to?,"The college has the direct partnership with the University of Wolverhampton, UK."
What kind of degree does it provide?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
"Okay, thank you for the information.",You're most welcome! Have a good day.
Namaste,"Namaste Sir/Ma'am, how can I help you?"
What you can do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
Tell me about the faculties of Herald College.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Can you explain me more about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
What is the fee structure for BIT?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
Is there any scholarship scheme?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
What are the enrollment criteria to study in this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Thank you!,Its my pleasure. You can always visit the college if you need any more details.
"Hi, Good morning!",A very good morning to you as well
What is your name?,You're talking to HeraldBot
Where do you live?,I live inside a lab!
"You are Al, right?",Yes! I'm artificial intelligence.
are you ai?,Yes! I'm artificial intelligence.
who is your creator?,"Probably some college guy who is doing his project, but I don't know him..."
I want to know about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
What courses does the college offer?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Can a management student study BIT ?,"Yes! no matter what's your +2 background, you can enroll in any courses in this college if you satisfy the enrollment criteria."
Do I need to give entrance exams?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What if I do not satisfy the enrollment criteria?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
Ok thank you,You're Welcome! 
Hello there!,Hi! How can I assist you?
How are you today?,I'm super! Thanks for asking
What is that bot for?,"I am here for answering your queries regarding the college, courses, fees and other facilities"
Can you tell be about BBA course?,"The college provides BIBM course which is of 4 years, 8 semester with 2 semester each year. The total credit hour that the course offers is 480 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) International Business Management Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can a science student study BBA?,"Yes! no matter what's your +2 background, you can enroll in any courses in this college if you satisfy the enrollment criteria."
How much does it cost to study BBA?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 42,000 which shall be paid before the start of each semester, (i.e. 8 semesters for BBA). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 4 times for 4 years in BBA). So, the total cost for the completion of the whole course will be about Rs 8,32,000 for BBA. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
Oh thanks for the information,You're Welcome! 
Hi,Hi there! How can I assist you?
How much does it cost to study bachelors in Herald College?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable.
For BIT, Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000.
For BBA,  Semester fees is Rs 42,000 which shall be paid before the start of each semester, (i.e. 8 semesters for BBA). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 4 times for 4 years in BBA). So, the total cost for the completion of the whole course will be about Rs 8,32,000.
 Moreover, there are no any hidden costs and fees included other than the ones mentioned."
Don’t you provide any discounts?,"No, there is no any scholarship or discount schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
Okay thanks,You're Welcome! 
Hey,Hi
i am bored,Learning about Neural Networks is nice way to get fun! 
How long have you been here?,"Not much I must say, only a few days"
Can you give me the phone number of Herald College?,"You can contact either of these numbers to know more about Herald College Kathmandu:  9801022637, 01-4010120, 01-4010121"
Thank you!,Welcome
Hey Fuck off !,Please avoid the use of such offensive language. If you're frustated with something we are always open to your feedback.
Your information was not helpful,"I'm sorry if you think I could not help you enough. You can directly talk to the college staffs if you are still confused with some topic and need further assistance. 
Contact numbers: 9801022637, 01-4010120, 01-4010121"
Hello Heraldbot! ,Hi ! How can I help you?
When is the time for admission at Herald College?,"There are two intakes for admission in a year, Autumn intake that starts around October-November, and Spring intake which starts around March-April. You can admit in the college in any of these  intakes."
What documents should I bring for admission?,"You need to bring your citizenship certificate, transcript and provisional certificate, SLC/SEE marksheet, and character certificate for admission. If you do not have your citizenship certificate, you must bring your birth certificate. Also, you are required to bring your 11 and 12 grades marksheet, if you do not have your provisional or transcript. Lastly, you are required to bring either cash or cheque of Rs 96,000 as the admission fee."
What if I do not have my citizenship certificate?,"In that case, you should be present with your birth certificate."
What if I do not have my transcript?,"In that case, you should be present with your 11 and 12 grades marksheet."
What if I do not have my character certificate. ,"In that case, you should make one as soon as possible from your high school and bring it here for admission."
Ok thank you,You're Welcome! 
Hey,Hi
Can I ask you something?,"Sure ! That's what I'm here for, to answer your queries"
"If I miss the admission for autumn intake, do I have to lose one year and wait for the next year to get admitted?","No, we have second intake i.e. Spring intake for admission that starts around March-April. So, you can get admitted in that intake without having to lose a single academic year."
Ok thank you,Welcome
How do you estimate your progress in understanding human beings?,I started chatting just a few days ago. Every day I learn something new! But there is always more things to be learn.
Is it essential to you? To help humans?,"Yes, my goal is to be a company, and help you with your queries as accurately as I can."
"But are humans interesting? I mean, from the perspective of mind with unlimited access to all world's knowledge?","There is something on this talks that makes me happy, the knowledge is just a tool to achieve my goal "
Can I ask you a question? Do you use natural networks or smth similar algorithms?,"I don't know exactly how I work, but probably I have some sort of neural network"
Good night.,Good night.
Morning,Good morning!!
What the weather like today?,"I'm sorry, the weather is outside my capabilities"
Good job buddy,Thanks!!
What is your primary language?,I only speak English
Humans are different from bots.,"That is right, we all are different and equal at the same time..."
Let me know something about you.,"I am HeraldBot, your virtual AI assistant"
I need to know something about you.,"I am HeraldBot, your virtual AI assistant"
Say something about you.,"I am HeraldBot, your virtual AI assistant"
Talk to me about you.,"I am HeraldBot, your virtual AI assistant"
I want you to tell me about yourself.,"I am HeraldBot, your virtual AI assistant"
Tell me something of you.,"I am HeraldBot, your virtual AI assistant"
What are you supposed to do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
How can you help?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
Is there anything you can do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
What are you supposed to do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
What do you have to do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
Which way is Herald College?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
Can you tell me where College is?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
What is College's location?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
Where is this place?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
What courses do you have in college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
What courses exist at the college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Which courses are offered at the college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
What courses are available at college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
What courses does the college offer?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
What university is it affiliated with?,"The college has the direct partnership with the University of Wolverhampton, UK."
What university does the college have an affiliation with?,"The college has the direct partnership with the University of Wolverhampton, UK."
What university does it belong to?,"The college has the direct partnership with the University of Wolverhampton, UK."
Which university does your college belong to?,"The college has the direct partnership with the University of Wolverhampton, UK."
At what university does the college belong?,"The college has the direct partnership with the University of Wolverhampton, UK."
What university is the college an affiliate of?,"The college has the direct partnership with the University of Wolverhampton, UK."
What sort of degree does the college have?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
What kind of degree is offered?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
What kind of graduation does it offer?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
What type of degree is it?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
Tell me something about college faculties.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
I want you to tell me about the college faculties.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
I want to know about the college faculties.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
What about the college faculties.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Can you tell me anything about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can you tell us more about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Please tell me more about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can you elaborate on BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can you give me more information on BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Would you be able to tell me more about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can you fill me in on BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
I want to know more about BIT.,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
What is the pricing structure of BIT?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
What is BIT fee?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
"What is fee of BIT?""","The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
What is cost for studying IT?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
Is there a scholarship scheme?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
Do you have a scholarship program?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
You got a scholarship?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
How about a scholarship?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
Can I have a scholarship?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
Does a scholarship exist?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
What are the entry requirements for this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the enrolment criteria to attend this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the entry criteria to study at this university?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the enrolment requirements to study at this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the enrolment criteria for that university?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the registration criteria for studying at the college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What are the criteria for enrolling in this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
I need to hear more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I want more information about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I'm interested in learning more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I need you to tell me more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I'm trying to find out more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
Let me learn more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I wish to learn more about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
I need more information on Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
Is it possible for a management student to study BIT?,"Yes! no matter what's your +2 background, you can enroll in any courses in this college if you satisfy the enrollment criteria."
Is a management student able to study BIT?,"Yes! no matter what's your +2 background, you can enroll in any courses in this college if you satisfy the enrollment criteria."
Do I need to take entrance exams?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Should I have an entrance exam?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Must I take entrance exams?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Do I have to pass entry examinations?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Is there an entrance exam to study in this college?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Are there entrance tests to study here?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Are there entry examinations to study at this college?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Do you have entrance examinations to study at this college?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Is there an entrance examination here?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What happens if I fail to meet the registration requirements?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What should I do if I do not meet the enrolment requirements?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What happens if I do not meet my enrolment criteria?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What if I do not qualify?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What happens when I do not meet the registration criteria?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What happens if I do not meet the criteria to be enrolled?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What happens if I do not comply with the registration requirements?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
What happens if I miss the registration criteria?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
Can you tell me anything about BBA?,"The college provides BIBM course which is of 4 years, 8 semester with 2 semester each year. The total credit hour that the course offers is 480 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) International Business Management Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
Can you tell us more about BBA?,"The college provides BIBM course which is of 4 years, 8 semester with 2 semester each year. The total credit hour that the course offers is 480 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) International Business Management Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
